,scaling_technique,model,best_score_f1
0,,knn,0.41551990885528217
1,,dt,0.48590966736086016
2,,gnbayes,0.5577882546988019
3,,comnbayes,0.5932715832851579
4,,svc,0.5319636426223543
5,"['C1', 'C3']",knn,0.38593690759594657
6,"['C1', 'C3']",dt,0.47494205857521665
7,"['C1', 'C3']",gnbayes,0.5283862783517659
8,"['C1', 'C3']",comnbayes,0.5789159227666495
9,"['C1', 'C3']",svc,0.5007086702863963
10,"['C1', 'C4']",knn,0.3775145251364764
11,"['C1', 'C4']",dt,0.4341349382869786
12,"['C1', 'C4']",gnbayes,0.5507044278104649
13,"['C1', 'C4']",comnbayes,0.5800797189738537
14,"['C1', 'C4']",svc,0.5123078825304559
15,"['C1', 'C5']",knn,0.39417400109568856
16,"['C1', 'C5']",dt,0.4802331784905306
17,"['C1', 'C5']",gnbayes,0.5289302751486459
18,"['C1', 'C5']",comnbayes,0.5950582436943547
19,"['C1', 'C5']",svc,0.5035180576083478
20,"['C1', 'C6']",knn,0.35415575204392113
21,"['C1', 'C6']",dt,0.41001002064216074
22,"['C1', 'C6']",gnbayes,0.525102608497224
23,"['C1', 'C6']",comnbayes,0.5767472528902188
24,"['C1', 'C6']",svc,0.49875199625785777
25,"['C1', 'C7']",knn,0.33253184248251944
26,"['C1', 'C7']",dt,0.3847034158770378
27,"['C1', 'C7']",gnbayes,0.47580804103079205
28,"['C1', 'C7']",comnbayes,0.5303259994298769
29,"['C1', 'C7']",svc,0.40723216674427076
30,"['C1', 'C8']",knn,0.38175829528511335
31,"['C1', 'C8']",dt,0.47742855576403953
32,"['C1', 'C8']",gnbayes,0.547698321943605
33,"['C1', 'C8']",comnbayes,0.5918514379144019
34,"['C1', 'C8']",svc,0.5033761421868838
35,"['C1', 'C9']",knn,0.3912340433359084
36,"['C1', 'C9']",dt,0.46513802730824916
37,"['C1', 'C9']",gnbayes,0.5486514492760427
38,"['C1', 'C9']",comnbayes,0.5820026636980999
39,"['C1', 'C9']",svc,0.49711650860657947
40,"['C1', 'C13']",knn,0.40366855548202285
41,"['C1', 'C13']",dt,0.48208755530184105
42,"['C1', 'C13']",gnbayes,0.5404808957259049
43,"['C1', 'C13']",comnbayes,0.5705809683885356
44,"['C1', 'C13']",svc,0.49257212602230044
45,"['C1', 'C14']",knn,0.39979245568853206
46,"['C1', 'C14']",dt,0.4864899519593716
47,"['C1', 'C14']",gnbayes,0.556969689953126
48,"['C1', 'C14']",comnbayes,0.5934413657795883
49,"['C1', 'C14']",svc,0.5024003828927135
50,"['C1', 'C16']",knn,0.4198277537510603
51,"['C1', 'C16']",dt,0.47536095515481314
52,"['C1', 'C16']",gnbayes,0.5582508289591039
53,"['C1', 'C16']",comnbayes,0.5770086199602746
54,"['C1', 'C16']",svc,0.5061613168061795
55,"['C1', 'C18']",knn,0.4178676270791102
56,"['C1', 'C18']",dt,0.48378200778639213
57,"['C1', 'C18']",gnbayes,0.5483640176161831
58,"['C1', 'C18']",comnbayes,0.5888933798940166
59,"['C1', 'C18']",svc,0.49708278660301336
60,"['C1', 'C19']",knn,0.36969171178204446
61,"['C1', 'C19']",dt,0.4907084147127991
62,"['C1', 'C19']",gnbayes,0.5524534901398346
63,"['C1', 'C19']",comnbayes,0.590685476184482
64,"['C1', 'C19']",svc,0.5059561216378263
65,"['C1', 'C20']",knn,0.4393820354617697
66,"['C1', 'C20']",dt,0.46415472937123897
67,"['C1', 'C20']",gnbayes,0.556803046901156
68,"['C1', 'C20']",comnbayes,0.5904641781286512
69,"['C1', 'C20']",svc,0.5171142052515247
70,"['C1', 'C21']",knn,0.3583123106689129
71,"['C1', 'C21']",dt,0.46132102442252815
72,"['C1', 'C21']",gnbayes,0.5503679047217422
73,"['C1', 'C21']",comnbayes,0.5659446463880764
74,"['C1', 'C21']",svc,0.4848133975340714
75,"['C1', 'C22']",knn,0.3726268590419955
76,"['C1', 'C22']",dt,0.48378200778639213
77,"['C1', 'C22']",gnbayes,0.5590500064580837
78,"['C1', 'C22']",comnbayes,0.5863543029052611
79,"['C1', 'C22']",svc,0.5117706344724978
80,"['C1', 'C23']",knn,0.4033584575929319
81,"['C1', 'C23']",dt,0.47629780117175075
82,"['C1', 'C23']",gnbayes,0.5687125536421954
83,"['C1', 'C23']",comnbayes,0.593601744666171
84,"['C1', 'C23']",svc,0.5335188209388501
85,"['C1', 'C24']",knn,0.4057596215747692
86,"['C1', 'C24']",dt,0.4773639157268733
87,"['C1', 'C24']",gnbayes,0.5644359034820485
88,"['C1', 'C24']",comnbayes,0.590080792627482
89,"['C1', 'C24']",svc,0.5185326283623496
90,"['C1', 'C27']",knn,0.3968204751900405
91,"['C1', 'C27']",dt,0.46408771700150114
92,"['C1', 'C27']",gnbayes,0.5511320015013413
93,"['C1', 'C27']",comnbayes,0.5853278323506753
94,"['C1', 'C27']",svc,0.5360961562751823
95,"['C1', 'C28']",knn,0.38637228483300917
96,"['C1', 'C28']",dt,0.4828466336367323
97,"['C1', 'C28']",gnbayes,0.5584904613512405
98,"['C1', 'C28']",comnbayes,0.5781094443680377
99,"['C1', 'C28']",svc,0.5264147626331651
100,"['C1', 'C29']",knn,0.4151065059601645
101,"['C1', 'C29']",dt,0.48378200778639213
102,"['C1', 'C29']",gnbayes,0.5539900208372147
103,"['C1', 'C29']",comnbayes,0.5903710472695137
104,"['C1', 'C29']",svc,0.5146605568543976
105,"['C3', 'C4']",knn,0.3876679693460009
106,"['C3', 'C4']",dt,0.41404115220005605
107,"['C3', 'C4']",gnbayes,0.5228123075592516
108,"['C3', 'C4']",comnbayes,0.5777805660941938
109,"['C3', 'C4']",svc,0.4923902154317533
110,"['C3', 'C5']",knn,0.38875732394693585
111,"['C3', 'C5']",dt,0.4883170142709857
112,"['C3', 'C5']",gnbayes,0.5203648494776556
113,"['C3', 'C5']",comnbayes,0.5790058625640477
114,"['C3', 'C5']",svc,0.4869730834408486
115,"['C3', 'C6']",knn,0.36480010229522214
116,"['C3', 'C6']",dt,0.40467074003320924
117,"['C3', 'C6']",gnbayes,0.5066273834127766
118,"['C3', 'C6']",comnbayes,0.5663181693245554
119,"['C3', 'C6']",svc,0.4989055936353196
120,"['C3', 'C7']",knn,0.33468536518660413
121,"['C3', 'C7']",dt,0.3849851135762183
122,"['C3', 'C7']",gnbayes,0.4712030761406611
123,"['C3', 'C7']",comnbayes,0.5138878487945253
124,"['C3', 'C7']",svc,0.40135694505933317
125,"['C3', 'C8']",knn,0.4039988626219483
126,"['C3', 'C8']",dt,0.485156358031832
127,"['C3', 'C8']",gnbayes,0.5319420699966316
128,"['C3', 'C8']",comnbayes,0.5850538861005764
129,"['C3', 'C8']",svc,0.4959492052813051
130,"['C3', 'C9']",knn,0.3524295085324497
131,"['C3', 'C9']",dt,0.46891553628259175
132,"['C3', 'C9']",gnbayes,0.5349736346620845
133,"['C3', 'C9']",comnbayes,0.5826359551757984
134,"['C3', 'C9']",svc,0.5082584041992586
135,"['C3', 'C13']",knn,0.36948763913563903
136,"['C3', 'C13']",dt,0.4653868114434343
137,"['C3', 'C13']",gnbayes,0.5366139147194342
138,"['C3', 'C13']",comnbayes,0.582117531144034
139,"['C3', 'C13']",svc,0.4816001892117464
140,"['C3', 'C14']",knn,0.36460243511089074
141,"['C3', 'C14']",dt,0.48799769569444085
142,"['C3', 'C14']",gnbayes,0.5385458096406592
143,"['C3', 'C14']",comnbayes,0.5912022167841877
144,"['C3', 'C14']",svc,0.5169931338762978
145,"['C3', 'C16']",knn,0.42249509006946073
146,"['C3', 'C16']",dt,0.4681075193978944
147,"['C3', 'C16']",gnbayes,0.5350330969294833
148,"['C3', 'C16']",comnbayes,0.5917408683630032
149,"['C3', 'C16']",svc,0.5065601447979241
150,"['C3', 'C18']",knn,0.38778869745214556
151,"['C3', 'C18']",dt,0.4834737150293452
152,"['C3', 'C18']",gnbayes,0.5249588823331545
153,"['C3', 'C18']",comnbayes,0.5870955658643163
154,"['C3', 'C18']",svc,0.5049055951904896
155,"['C3', 'C19']",knn,0.387865934191426
156,"['C3', 'C19']",dt,0.47482729713270705
157,"['C3', 'C19']",gnbayes,0.5370775056850732
158,"['C3', 'C19']",comnbayes,0.598447242002143
159,"['C3', 'C19']",svc,0.5050085833863059
160,"['C3', 'C20']",knn,0.3966072019066317
161,"['C3', 'C20']",dt,0.4755235778717086
162,"['C3', 'C20']",gnbayes,0.5340104086221353
163,"['C3', 'C20']",comnbayes,0.5894560260755171
164,"['C3', 'C20']",svc,0.5023788703871961
165,"['C3', 'C21']",knn,0.3610878445928838
166,"['C3', 'C21']",dt,0.48863618923458707
167,"['C3', 'C21']",gnbayes,0.5326869169497556
168,"['C3', 'C21']",comnbayes,0.5644572985426975
169,"['C3', 'C21']",svc,0.4809010668713986
170,"['C3', 'C22']",knn,0.3807307358081352
171,"['C3', 'C22']",dt,0.4707444281295044
172,"['C3', 'C22']",gnbayes,0.5357354501536811
173,"['C3', 'C22']",comnbayes,0.5852093988622393
174,"['C3', 'C22']",svc,0.5238917071718519
175,"['C3', 'C23']",knn,0.37188713593037925
176,"['C3', 'C23']",dt,0.4673321936520313
177,"['C3', 'C23']",gnbayes,0.5436030135693593
178,"['C3', 'C23']",comnbayes,0.583587984559984
179,"['C3', 'C23']",svc,0.503876171325597
180,"['C3', 'C24']",knn,0.3824472281371705
181,"['C3', 'C24']",dt,0.46938579475367337
182,"['C3', 'C24']",gnbayes,0.5420745345532645
183,"['C3', 'C24']",comnbayes,0.5949881582647994
184,"['C3', 'C24']",svc,0.5102933403206908
185,"['C3', 'C27']",knn,0.3900426053935736
186,"['C3', 'C27']",dt,0.4634933337883648
187,"['C3', 'C27']",gnbayes,0.5384299729489802
188,"['C3', 'C27']",comnbayes,0.5940827130643387
189,"['C3', 'C27']",svc,0.5157874598379826
190,"['C3', 'C28']",knn,0.39250101288388295
191,"['C3', 'C28']",dt,0.4667410327310645
192,"['C3', 'C28']",gnbayes,0.5248377138029279
193,"['C3', 'C28']",comnbayes,0.5897562852225334
194,"['C3', 'C28']",svc,0.5199035856578168
195,"['C3', 'C29']",knn,0.37725439394580434
196,"['C3', 'C29']",dt,0.47047158559174773
197,"['C3', 'C29']",gnbayes,0.5334170400304076
198,"['C3', 'C29']",comnbayes,0.5885843697343371
199,"['C3', 'C29']",svc,0.5259060414189269
200,"['C4', 'C5']",knn,0.43597283469327364
201,"['C4', 'C5']",dt,0.45829307733414276
202,"['C4', 'C5']",gnbayes,0.5197581151373052
203,"['C4', 'C5']",comnbayes,0.5744502756294981
204,"['C4', 'C5']",svc,0.4874786308976503
205,"['C4', 'C6']",knn,0.3613587989141024
206,"['C4', 'C6']",dt,0.4028406593757673
207,"['C4', 'C6']",gnbayes,0.5346399249984299
208,"['C4', 'C6']",comnbayes,0.5751567798283748
209,"['C4', 'C6']",svc,0.505898811111513
210,"['C4', 'C7']",knn,0.3196232188858394
211,"['C4', 'C7']",dt,0.3807602870955638
212,"['C4', 'C7']",gnbayes,0.48336928178741234
213,"['C4', 'C7']",comnbayes,0.5130713874273278
214,"['C4', 'C7']",svc,0.40673775017213315
215,"['C4', 'C8']",knn,0.41596583295538
216,"['C4', 'C8']",dt,0.43430555094663664
217,"['C4', 'C8']",gnbayes,0.5523526808841862
218,"['C4', 'C8']",comnbayes,0.5664420114468365
219,"['C4', 'C8']",svc,0.5034195158857216
220,"['C4', 'C9']",knn,0.40926273476241387
221,"['C4', 'C9']",dt,0.4433405795203318
222,"['C4', 'C9']",gnbayes,0.5339930360308893
223,"['C4', 'C9']",comnbayes,0.5626050700869806
224,"['C4', 'C9']",svc,0.4795891661349896
225,"['C4', 'C13']",knn,0.3802670117816769
226,"['C4', 'C13']",dt,0.4259721089447533
227,"['C4', 'C13']",gnbayes,0.5223756508426795
228,"['C4', 'C13']",comnbayes,0.5754364082106622
229,"['C4', 'C13']",svc,0.4918792259764439
230,"['C4', 'C14']",knn,0.39120078503057226
231,"['C4', 'C14']",dt,0.4489737648866793
232,"['C4', 'C14']",gnbayes,0.5577299439549832
233,"['C4', 'C14']",comnbayes,0.5848260985450076
234,"['C4', 'C14']",svc,0.5045925162629412
235,"['C4', 'C16']",knn,0.4003524209057064
236,"['C4', 'C16']",dt,0.43989368555899955
237,"['C4', 'C16']",gnbayes,0.5591994147427847
238,"['C4', 'C16']",comnbayes,0.5886381818889797
239,"['C4', 'C16']",svc,0.5053323174064828
240,"['C4', 'C18']",knn,0.39669324924146254
241,"['C4', 'C18']",dt,0.4292923689806381
242,"['C4', 'C18']",gnbayes,0.542188347083787
243,"['C4', 'C18']",comnbayes,0.5775277120212877
244,"['C4', 'C18']",svc,0.5033513925435029
245,"['C4', 'C19']",knn,0.3612647642340113
246,"['C4', 'C19']",dt,0.4223780044603682
247,"['C4', 'C19']",gnbayes,0.5468538602156723
248,"['C4', 'C19']",comnbayes,0.5982329239233428
249,"['C4', 'C19']",svc,0.5062183171295729
250,"['C4', 'C20']",knn,0.42008120982107533
251,"['C4', 'C20']",dt,0.43909667370467576
252,"['C4', 'C20']",gnbayes,0.5558981223737897
253,"['C4', 'C20']",comnbayes,0.5832621856239528
254,"['C4', 'C20']",svc,0.5149032699785447
255,"['C4', 'C21']",knn,0.3636247865072834
256,"['C4', 'C21']",dt,0.45429859273796175
257,"['C4', 'C21']",gnbayes,0.5327660692238215
258,"['C4', 'C21']",comnbayes,0.5814887947326819
259,"['C4', 'C21']",svc,0.48610334790044185
260,"['C4', 'C22']",knn,0.42199110118237193
261,"['C4', 'C22']",dt,0.43998444335190456
262,"['C4', 'C22']",gnbayes,0.5516254596821089
263,"['C4', 'C22']",comnbayes,0.5863177386841724
264,"['C4', 'C22']",svc,0.5255178675385955
265,"['C4', 'C23']",knn,0.3827926990821883
266,"['C4', 'C23']",dt,0.4397856001221059
267,"['C4', 'C23']",gnbayes,0.5635706827148075
268,"['C4', 'C23']",comnbayes,0.5862606966742325
269,"['C4', 'C23']",svc,0.5390568832213836
270,"['C4', 'C24']",knn,0.4223604809178144
271,"['C4', 'C24']",dt,0.42551523285745796
272,"['C4', 'C24']",gnbayes,0.5478446500748543
273,"['C4', 'C24']",comnbayes,0.5810773308351823
274,"['C4', 'C24']",svc,0.5119735296669014
275,"['C4', 'C27']",knn,0.4560800366816248
276,"['C4', 'C27']",dt,0.4759296990379913
277,"['C4', 'C27']",gnbayes,0.5489858103839558
278,"['C4', 'C27']",comnbayes,0.582622293719888
279,"['C4', 'C27']",svc,0.5310700385118102
280,"['C4', 'C28']",knn,0.4059750557424976
281,"['C4', 'C28']",dt,0.41358052851511207
282,"['C4', 'C28']",gnbayes,0.542925503098759
283,"['C4', 'C28']",comnbayes,0.5737732390249811
284,"['C4', 'C28']",svc,0.5025901270395159
285,"['C4', 'C29']",knn,0.37015632618573796
286,"['C4', 'C29']",dt,0.4541321678788817
287,"['C4', 'C29']",gnbayes,0.5563296125875046
288,"['C4', 'C29']",comnbayes,0.583132414489478
289,"['C4', 'C29']",svc,0.5186980955847366
290,"['C5', 'C6']",knn,0.39999023350529805
291,"['C5', 'C6']",dt,0.4649946614180531
292,"['C5', 'C6']",gnbayes,0.513942394042743
293,"['C5', 'C6']",comnbayes,0.5814510986966404
294,"['C5', 'C6']",svc,0.49519394943631767
295,"['C5', 'C7']",knn,0.2765077500774064
296,"['C5', 'C7']",dt,0.3793713365057397
297,"['C5', 'C7']",gnbayes,0.4543801780160745
298,"['C5', 'C7']",comnbayes,0.505003349055919
299,"['C5', 'C7']",svc,0.3839939879715737
300,"['C5', 'C8']",knn,0.3966739871219675
301,"['C5', 'C8']",dt,0.4191677927490134
302,"['C5', 'C8']",gnbayes,0.5486504367148556
303,"['C5', 'C8']",comnbayes,0.5732013312240214
304,"['C5', 'C8']",svc,0.5082557711617574
305,"['C5', 'C9']",knn,0.40390305308701785
306,"['C5', 'C9']",dt,0.46861363380529114
307,"['C5', 'C9']",gnbayes,0.5440373944881877
308,"['C5', 'C9']",comnbayes,0.5697728650666308
309,"['C5', 'C9']",svc,0.48054120105701825
310,"['C5', 'C13']",knn,0.38752306482143695
311,"['C5', 'C13']",dt,0.4773303198537898
312,"['C5', 'C13']",gnbayes,0.5590965161260679
313,"['C5', 'C13']",comnbayes,0.5797115858731006
314,"['C5', 'C13']",svc,0.4883470370057486
315,"['C5', 'C14']",knn,0.3738502506265664
316,"['C5', 'C14']",dt,0.47919298836143404
317,"['C5', 'C14']",gnbayes,0.5488675964195348
318,"['C5', 'C14']",comnbayes,0.5879232184860836
319,"['C5', 'C14']",svc,0.4944956786291452
320,"['C5', 'C16']",knn,0.3999144163831168
321,"['C5', 'C16']",dt,0.48561450778150955
322,"['C5', 'C16']",gnbayes,0.5326042066005522
323,"['C5', 'C16']",comnbayes,0.5961525523250725
324,"['C5', 'C16']",svc,0.484216870844426
325,"['C5', 'C18']",knn,0.4107322152177121
326,"['C5', 'C18']",dt,0.4819779177177919
327,"['C5', 'C18']",gnbayes,0.5194653907506175
328,"['C5', 'C18']",comnbayes,0.5772531470957675
329,"['C5', 'C18']",svc,0.48567722230488186
330,"['C5', 'C19']",knn,0.3995289929469759
331,"['C5', 'C19']",dt,0.48810574641744003
332,"['C5', 'C19']",gnbayes,0.5302883666041561
333,"['C5', 'C19']",comnbayes,0.5907614695025313
334,"['C5', 'C19']",svc,0.4959066038522971
335,"['C5', 'C20']",knn,0.4022570976229513
336,"['C5', 'C20']",dt,0.4814968839169718
337,"['C5', 'C20']",gnbayes,0.5389008202463927
338,"['C5', 'C20']",comnbayes,0.5893918945126563
339,"['C5', 'C20']",svc,0.4909960898024123
340,"['C5', 'C21']",knn,0.37897420612321675
341,"['C5', 'C21']",dt,0.4759967330805841
342,"['C5', 'C21']",gnbayes,0.5327327846096404
343,"['C5', 'C21']",comnbayes,0.5847707807327375
344,"['C5', 'C21']",svc,0.4791117778479606
345,"['C5', 'C22']",knn,0.4005261905001142
346,"['C5', 'C22']",dt,0.47369210182795884
347,"['C5', 'C22']",gnbayes,0.5358482502142348
348,"['C5', 'C22']",comnbayes,0.5854529215824431
349,"['C5', 'C22']",svc,0.4883880911694667
350,"['C5', 'C23']",knn,0.41911474937102194
351,"['C5', 'C23']",dt,0.4969531383175025
352,"['C5', 'C23']",gnbayes,0.5419596711760256
353,"['C5', 'C23']",comnbayes,0.5862236236656123
354,"['C5', 'C23']",svc,0.501540551321938
355,"['C5', 'C24']",knn,0.41255297015022413
356,"['C5', 'C24']",dt,0.46378768990690455
357,"['C5', 'C24']",gnbayes,0.5665157077023473
